#	total_answers	correct_answers	cloze_probability	sentential_context	key
1	134	129	0.9627	On the sidewalk I draw with	chalk
2	134	123	0.9179	The pool was six feet	deep
3	132	118	0.8939	The diamond was not real it was	fake
4	133	131	0.9850	Down the sad woman's cheek came a	tear
5	134	134	1.0000	He likes his chicken deep	fried
6	134	111	0.8284	At the store I pushed the	cart
7	134	115	0.8582	In school I sit at a	desk
8	134	122	0.9104	I was taught by my soccer	coach
9	134	130	0.9701	On an answer he made a lucky	guess
10	134	128	0.9552	At the pool he did a belly	flop
11	134	123	0.9179	Farmers milk the	cows
12	134	132	0.9851	The bride walked down the	aisle
13	134	132	0.9851	He waves an American	flag
14	134	126	0.9403	His mom quit her	job
15	133	125	0.9398	The pirate said walk the	plank
16	134	101	0.7537	The bride wears a white	dress
17	134	122	0.9104	I sweep the floor with a	broom
18	134	132	0.9851	Her favorite food is mac and	cheese
19	130	60	0.4615	Bah says the sheep and	goat
20	134	60	0.4478	He likes to eat fresh	fruit
21	134	132	0.9851	I throw and you	catch
22	134	132	0.9851	The color of the sky is	blue
23	134	134	1.0000	He is chewing bubble	gum
24	133	116	0.8722	Goats are skinny and pigs are	fat
25	134	118	0.8806	The baby liked to stack	blocks
26	134	61	0.4552	He chopped the	wood
27	134	75	0.5597	For his birthday I wrapped a	present
28	134	119	0.8881	On the present I tied a	bow
29	134	129	0.9627	The earth is round not	flat
30	134	121	0.9030	The boy hit the ball with a	bat
31	134	109	0.8134	The clouds hid the	sun
32	134	119	0.8881	The doctor gave him a flu	shot
33	134	125	0.9328	My heart was pounding in my	chest
34	134	134	1.0000	He baked a birthday	cake
35	134	115	0.8582	I got a hair 	cut
36	134	128	0.9552	My hair was blown by the	wind
37	134	93	0.6940	Babies sleep in	crib
38	132	125	0.9470	Ribbit goes the	frog
39	133	123	0.9248	Santa gives bad kids	coal
40	133	111	0.8346	The picnic was ruined by crawling	ants
41	134	110	0.8209	Animals are locked in	cages
42	134	106	0.7910	In school he is in first	grade
43	134	132	0.9851	Tick tock goes the	clock
44	134	124	0.9254	A tree trunk is colored	brown
45	134	133	0.9925	He eats steak with a knife and	fork
46	134	130	0.9701	I was stung by a buzzing	bee
47	133	130	0.9774	I spray whipped	cream
48	134	131	0.9776	In the sky are white fluffy	clouds
49	133	105	0.7895	My dog digs	holes
50	134	125	0.9328	In spring the  flowers	bloom
51	133	118	0.8872	My dad mows the	lawn
52	132	128	0.9697	The baby wears a bib when he	eats
53	133	125	0.9398	I hit my arm and got a	bruise
54	132	119	0.9015	I laughed at the circus	clown
55	133	127	0.9549	Before school starts the bell	rings
56	133	93	0.6992	He styled his hair with	gel
57	133	90	0.6767	I keep my room	clean
58	133	118	0.8872	The rainy sky was colored	gray
59	132	121	0.9167	A baby chicken is a	chick
60	131	112	0.8550	On his hands are a pair of	gloves
61	132	100	0.7576	I put on my rain	coat
62	132	127	0.9621	The car stopped with its	brakes
63	132	104	0.7879	His dad drove a delivery	truck
64	131	101	0.7710	Wedding rings are made of	gold
65	132	126	0.9545	I see with my	eyes
66	132	127	0.9621	My mom makes me do household	chores
67	131	81	0.6183	For soccer you wear	cleats
68	132	129	0.9773	Bark says the	dog
69	132	65	0.4924	The sign said do not feed the	animals
70	132	88	0.6667	He pulled up his	pants
71	132	131	0.9924	Around my pants I wear a	belt
72	132	131	0.9924	I count one two	three
73	132	104	0.7879	He burned his hand on the	stove
74	132	132	1.0000	I signed a birthday	card
75	132	106	0.8030	On the trampoline he did a	flip
76	132	62	0.4697	The old table was covered in	dust
77	132	77	0.5833	He put on his shoes to go	outside
78	132	116	0.8788	He wore a cast because his arm	broke
79	131	75	0.5725	Worms crawl in the	dirt
80	132	112	0.8485	The cat has sharp	claws
81	132	116	0.8788	My fireplace is made of red	bricks
82	132	123	0.9318	I flush the	toilet
83	132	122	0.9242	I like arts and	crafts
84	132	116	0.8788	He cooked hotdogs outside on the	grill
85	132	131	0.9924	My hat was in the lost and	found
86	132	122	0.9242	Cats have soft	fur
87	132	96	0.7273	He puts gas in his	car
88	132	125	0.9470	The cookies were eaten until they were	gone
89	132	130	0.9848	The number before ten is	nine
90	131	81	0.6183	The woods had a big brown scary	bear
91	132	98	0.7424	He stood at the edge of a	cliff
92	132	131	0.9924	In games I roll the	dice
93	132	119	0.9015	At night I sleep in my	bed
94	132	56	0.4242	Boats sail under the	bridge
95	132	35	0.2652	Outside a man trimmed the	bushes
96	131	123	0.9389	The lion says	roar
97	132	131	0.9924	The grass is colored	green
98	131	128	0.9771	He had fun at the birthday	party
99	130	121	0.9308	The water got her hair	wet
100	130	128	0.9846	The water was luke	warm
101	129	106	0.8217	A monkey climbs	trees
102	129	125	0.9690	Meow goes the	cat
103	129	129	1.0000	Windows are made of	glass
104	128	126	0.9844	His favorite fruit was a red crisp	apple
105	129	54	0.4186	To get clean I take a	bath
106	129	115	0.8915	She had no clothes to	wear
107	129	125	0.9690	She told me to calm	down
108	129	122	0.9457	The ball is not square but	round
109	129	78	0.6047	We went fishing on a	boat
110	128	121	0.9453	The soccer team scored a	goal
111	129	117	0.9070	We buy toys at the toy	store
112	129	129	1.0000	We live on planet	earth
113	129	119	0.9225	My cold made me sneeze and	cough
114	129	57	0.4419	I drink from a	cup
115	129	125	0.9690	She blew out the birthday	candles
116	128	113	0.8828	She lost the staring contest by	blinking
117	128	110	0.8594	We played duck duck	goose
118	128	109	0.8516	I wear sunglasses because the sun is	bright
119	129	128	0.9922	On one hand I have five	fingers
120	129	102	0.7907	At school there was a fire	drill
121	129	120	0.9302	He puts his lunch in a paper	bag
122	129	123	0.9535	Superman wears a red	cape
123	129	112	0.8682	Winter is very	cold
124	129	129	1.0000	Babies crawl before they	walk
125	127	124	0.9764	It is dark at	night
126	129	115	0.8915	Raisins are dried	grapes
127	128	112	0.8750	The baby drinks from his	bottle
128	129	109	0.8450	On the remote he clicked the	button
129	129	127	0.9845	I clap my	hands
130	129	79	0.6124	Dogs have four	legs
131	127	79	0.6220	His dog was sprayed by a	skunk
132	127	90	0.7087	His mom makes her own pie	crust
133	128	117	0.9141	Tweet goes the	bird
134	128	123	0.9609	In the winter the pond will	freeze
135	128	124	0.9688	A king wears a	crown
136	129	126	0.9767	The rose had sharp	thorns
137	129	120	0.9302	The house was haunted by	ghosts
138	129	120	0.9302	He likes to read	books
139	129	126	0.9767	To school I ride the yellow	bus
140	129	128	0.9922	She baked a loaf of	bread
141	129	129	1.0000	Birds like to build	nests
142	129	128	0.9922	We bring a tent to go	camping
143	129	119	0.9225	I put the sock on my	foot
144	129	78	0.6047	I like to draw	pictures
145	129	111	0.8605	I watch tv and sit on the	couch
146	129	110	0.8527	My mom puts money in the	bank
147	129	118	0.9147	He had a mystery to	solve
148	129	125	0.9690	Lets play truth or	dare
149	129	109	0.8450	The cat chased the	mouse
150	129	126	0.9767	Santa has a big white	beard
151	127	111	0.8740	Hiss goes the	snake
152	129	129	1.0000	First place is number	one
153	129	123	0.9535	She thinks all baby animals are	cute
154	128	120	0.9375	Charlie wanted a kiss and a	hug
155	129	114	0.8837	His grandpa smoked from a	pipe
156	129	108	0.8372	I have two legs and two	arms
157	129	121	0.9380	The paper sticks together like	glue
158	128	120	0.9375	Fish breathe through	gills
159	129	113	0.8760	He failed the test because he didn't	study
160	129	117	0.9070	When I am sad I	cry
161	129	119	0.9225	The cake is in the oven to	bake
162	127	108	0.8504	Cheetahs  are really	fast
163	129	129	1.0000	He pours cereal into a	bowl
